date,t,s,i,r
2020-12-18,298,58999599.09369861,10.74020818522224,1000390.1660932031
2020-12-19,299,58999599.09365329,10.240800041259224,1000390.665546667
2020-12-20,300,58999599.0936117,9.764612259826478,1000391.1417760443
2020-12-21,301,58999599.09357352,9.310565323840144,1000391.5958611581
2020-12-22,302,58999599.093538485,8.877629891818666,1000392.0288316308
2020-12-23,303,58999599.09350632,8.464824463503028,1000392.4416692206
2020-12-24,304,58999599.0934768,8.071213164516875,1000392.8353100382
2020-12-25,305,58999599.09344971,7.695903623187327,1000393.2106466725
2020-12-26,306,58999599.09342484,7.338044943997791,1000393.5685302184
2020-12-27,307,58999599.09340202,6.996825787868878,1000393.9097721978
2020-12-28,308,58999599.09338107,6.671472532168206,1000394.2351464015
2020-12-29,309,58999599.09336185,6.361247512497088,1000394.5453906477
2020-12-30,310,58999599.0933442,6.065447357968374,1000394.8412084489
2020-12-31,311,58999599.09332801,5.7834013969651314,1000395.1232706065
2021-01-01,312,58999599.09331314,5.514470132370155,1000395.3922167367
2021-01-02,313,58999599.09329949,5.258043797327289,1000395.6486567159
2021-01-03,314,58999599.09328697,5.013540974100183,1000395.8931720619
2021-01-04,315,58999599.09327548,4.780407272088947,1000396.1263172579
2021-01-05,316,58999599.09326493,4.558114074472028,1000396.3486210048
2021-01-06,317,58999599.093255244,4.346157341753556,1000396.5605874201
2021-01-07,318,58999599.093246356,4.144056466025994,1000396.7626971827
2021-01-08,319,58999599.0932382,3.9513531829372917,1000396.9554086224
2021-01-09,320,58999599.09323072,3.767610535281589,1000397.1391587564
2021-01-10,321,58999599.09322384,3.592411880140602,1000397.3143642826
2021-01-11,322,58999599.09321754,3.425359944230544,1000397.4814225251
2021-01-12,323,58999599.09321175,3.2660759261676096,1000397.6407123315
2021-01-13,324,58999599.093206435,3.114198636218761,1000397.792594934
2021-01-14,325,58999599.09320156,2.969383676104559,1000397.9374147701
2021-01-15,326,58999599.093197085,2.8313026613409424,1000398.0755002603
2021-01-16,327,58999599.09319298,2.6996424758023663,1000398.2071645536
2021-01-17,328,58999599.09318921,2.5741045599516004,1000398.3327062395
2021-01-18,329,58999599.093185745,2.4544042368286823,1000398.452410023
2021-01-19,330,58999599.09318257,2.340270066173479,1000398.5665473696
2021-01-20,331,58999599.09317966,2.231443227022413,1000398.6753771236
2021-01-21,332,58999599.09317698,2.1276769332090213,1000398.779146093
2021-01-22,333,58999599.093174525,2.0287358738232917,1000398.8780896079
2021-01-23,334,58999599.093172275,1.9343956779089435,1000398.9724320576
2021-01-24,335,58999599.0931702,1.8444424073358003,1000399.0623873968
2021-01-25,336,58999599.0931683,1.7586720721127491,1000399.1481596307
2021-01-26,337,58999599.09316656,1.6768901663752303,1000399.229943279
2021-01-27,338,58999599.09316496,1.5989112282656217,1000399.3079238165
2021-01-28,339,58999599.09316349,1.5245584201053117,1000399.3822780926
2021-01-29,340,58999599.09316214,1.4536631262897273,1000399.4531747338
2021-01-30,341,58999599.093160905,1.3860645712249313,1000399.5207745255
2021-01-31,342,58999599.09315977,1.321609455686658,1000399.5852307759
2021-02-01,343,58999599.09315873,1.2601516084238016,1000399.6466896649
2021-02-02,344,58999599.093157776,1.2015516544486984,1000399.705290575
2021-02-03,345,58999599.0931569,1.145676700069563,1000399.7611664069
2021-02-04,346,58999599.09315609,1.0924000310377007,1000399.8144438814
2021-02-05,347,58999599.09315535,1.041600824582612,1000399.8652438271
2021-02-06,348,58999599.09315467,0.9931638765595602,1000399.9136814537
2021-02-07,349,58999599.09315404,0.9469793398964322,1000399.9598666131
2021-02-08,350,58999599.09315347,0.9029424747574288,1000400.0039040499
2021-02-09,351,58999599.09315295,0.8609534120130262,1000400.0458936372
2021-02-10,352,58999599.09315246,0.8209169266446512,1000400.085930604
2021-02-11,353,58999599.093152024,0.7827422210738144,1000400.1241057515
2021-02-12,354,58999599.093151614,0.7463427200176652,1000400.1605056581
2021-02-13,355,58999599.09315125,0.7116358742005783,1000400.1952128763
2021-02-14,356,58999599.093150906,0.6785429725181783,1000400.2283061197
2021-02-15,357,58999599.09315059,0.6469889640358437,1000400.2598604418
2021-02-16,358,58999599.0931503,0.6169022879683778,1000400.2899474057
2021-02-17,359,58999599.093150035,0.5882147108849441,1000400.318635247
2021-02-18,360,58999599.093149796,0.5608611722154155,1000400.3459890281
2021-02-19,361,58999599.09314957,0.5347796369888456,1000400.372070786
2021-02-20,362,58999599.093149364,0.5099109547698948,1000400.3969396725
2021-02-21,363,58999599.09314918,0.48619872554078875,1000400.4206520892
2021-02-22,364,58999599.09314901,0.4635891721533365,1000400.4432618147
